date,location,total_cases,total_deaths,new_cases,new_deaths
2020-03-10,Tocantins,0,0,0,0
2020-03-11,Acre,0,0,0,0
2020-03-11,Alagoas,1,0,0,0
2020-03-11,Amapá,0,0,0,0
2020-03-11,Amazonas,0,0,0,0
2020-03-11,Bahia,2,0,0,0
2020-03-11,Ceará,0,0,0,0
2020-03-11,Distrito Federal,2,0,1,0
2020-03-11,Espírito Santo,1,0,0,0
2020-03-11,Goiás,0,0,0,0
2020-03-11,Maranhão,0,0,0,0
2020-03-11,Mato Grosso,0,0,0,0
2020-03-11,Mato Grosso do Sul,0,0,0,0
2020-03-11,Minas Gerais,1,0,0,0
2020-03-11,Pará,0,0,0,0
2020-03-11,Paraíba,0,0,0,0
2020-03-11,Paraná,0,0,0,0
2020-03-11,Pernambuco,0,0,0,0
2020-03-11,Piauí,0,0,0,0
2020-03-11,Rio de Janeiro,13,0,5,0
2020-03-11,Rio Grande do Norte,0,0,0,0
2020-03-11,Rio Grande do Sul,2,0,1,0
2020-03-11,Rondônia,0,0,0,0
2020-03-11,Roraima,0,0,0,0
2020-03-11,Santa Catarina,0,0,0,0
2020-03-11,São Paulo,30,0,11,0
2020-03-11,Sergipe,0,0,0,0
2020-03-11,Tocantins,0,0,0,0
2020-03-12,Acre,0,0,0,0
2020-03-12,Alagoas,1,0,0,0
2020-03-12,Amapá,0,0,0,0
2020-03-12,Amazonas,0,0,0,0
2020-03-12,Bahia,2,0,0,0
2020-03-12,Ceará,0,0,0,0
2020-03-12,Distrito Federal,2,0,0,0
2020-03-12,Espírito Santo,1,0,0,0
2020-03-12,Goiás,0,0,0,0
2020-03-12,Maranhão,0,0,0,0
2020-03-12,Mato Grosso,0,0,0,0
2020-03-12,Mato Grosso do Sul,0,0,0,0
2020-03-12,Minas Gerais,1,0,0,0
2020-03-12,Pará,0,0,0,0
2020-03-12,Paraíba,0,0,0,0
2020-03-12,Paraná,6,0,6,0
2020-03-12,Pernambuco,2,0,2,0
2020-03-12,Piauí,0,0,0,0
2020-03-12,Rio de Janeiro,16,0,3,0
2020-03-12,Rio Grande do Norte,0,0,0,0
2020-03-12,Rio Grande do Sul,4,0,2,0
2020-03-12,Rondônia,0,0,0,0
2020-03-12,Roraima,0,0,0,0
2020-03-12,Santa Catarina,0,0,0,0
2020-03-12,São Paulo,42,0,12,0
2020-03-12,Sergipe,0,0,0,0
2020-03-12,Tocantins,0,0,0,0
2020-03-13,Acre,0,0,0,0
2020-03-13,Alagoas,1,0,0,0
2020-03-13,Amapá,0,0,0,0
2020-03-13,Amazonas,0,0,0,0
2020-03-13,Bahia,2,0,0,0
2020-03-13,Ceará,0,0,0,0
2020-03-13,Distrito Federal,2,0,0,0
2020-03-13,Espírito Santo,1,0,0,0
2020-03-13,Goiás,3,0,3,0
2020-03-13,Maranhão,0,0,0,0
2020-03-13,Mato Grosso,0,0,0,0
2020-03-13,Mato Grosso do Sul,0,0,0,0
2020-03-13,Minas Gerais,2,0,1,0
2020-03-13,Pará,0,0,0,0
2020-03-13,Paraíba,0,0,0,0
2020-03-13,Paraná,6,0,0,0
2020-03-13,Pernambuco,2,0,0,0
2020-03-13,Piauí,0,0,0,0
2020-03-13,Rio de Janeiro,16,0,0,0
2020-03-13,Rio Grande do Norte,1,0,1,0
2020-03-13,Rio Grande do Sul,4,0,0,0
2020-03-13,Rondônia,0,0,0,0
2020-03-13,Roraima,0,0,0,0
2020-03-13,Santa Catarina,2,0,2,0
2020-03-13,São Paulo,56,0,14,0
2020-03-13,Sergipe,0,0,0,0
2020-03-13,Tocantins,0,0,0,0
2020-03-14,Acre,0,0,0,0
2020-03-14,Alagoas,1,0,0,0
2020-03-14,Amapá,0,0,0,0
2020-03-14,Amazonas,0,0,0,0
2020-03-14,Bahia,2,0,0,0
2020-03-14,Ceará,0,0,0,0
2020-03-14,Distrito Federal,6,0,4,0
2020-03-14,Espírito Santo,1,0,0,0
2020-03-14,Goiás,3,0,0,0
2020-03-14,Maranhão,0,0,0,0
2020-03-14,Mato Grosso,0,0,0,0
2020-03-14,Mato Grosso do Sul,0,0,0,0
2020-03-14,Minas Gerais,2,0,0,0
2020-03-14,Pará,0,0,0,0
2020-03-14,Paraíba,0,0,0,0
2020-03-14,Paraná,6,0,0,0
2020-03-14,Pernambuco,2,0,0,0
2020-03-14,Piauí,0,0,0,0
2020-03-14,Rio de Janeiro,22,0,6,0
2020-03-14,Rio Grande do Norte,1,0,0,0
2020-03-14,Rio Grande do Sul,6,0,2,0
2020-03-14,Rondônia,0,0,0,0
2020-03-14,Roraima,0,0,0,0
2020-03-14,Santa Catarina,4,0,2,0
2020-03-14,São Paulo,65,0,9,0
2020-03-14,Sergipe,0,0,0,0
2020-03-14,Tocantins,0,0,0,0
2020-03-15,Acre,0,0,0,0
2020-03-15,Alagoas,1,0,0,0
2020-03-15,Amapá,0,0,0,0
2020-03-15,Amazonas,1,0,1,0
2020-03-15,Bahia,2,0,0,0
2020-03-15,Ceará,0,0,0,0
2020-03-15,Distrito Federal,8,0,2,0
2020-03-15,Espírito Santo,1,0,0,0
2020-03-15,Goiás,3,0,0,0
2020-03-15,Maranhão,0,0,0,0
2020-03-15,Mato Grosso,0,0,0,0
2020-03-15,Mato Grosso do Sul,0,0,0,0
2020-03-15,Minas Gerais,2,0,0,0
2020-03-15,Pará,0,0,0,0
2020-03-15,Paraíba,0,0,0,0
2020-03-15,Paraná,6,0,0,0
2020-03-15,Pernambuco,2,0,0,0
2020-03-15,Piauí,0,0,0,0
2020-03-15,Rio de Janeiro,24,0,2,0
2020-03-15,Rio Grande do Norte,1,0,0,0
2020-03-15,Rio Grande do Sul,6,0,0,0
2020-03-15,Rondônia,0,0,0,0
2020-03-15,Roraima,0,0,0,0
2020-03-15,Santa Catarina,6,0,2,0
2020-03-15,São Paulo,136,0,71,0
2020-03-15,Sergipe,1,0,1,0
2020-03-15,Tocantins,0,0,0,0
2020-03-16,Acre,0,0,0,0
2020-03-16,Alagoas,1,0,0,0
2020-03-16,Amapá,0,0,0,0
2020-03-16,Amazonas,1,0,0,0
2020-03-16,Bahia,2,0,0,0
2020-03-16,Ceará,0,0,0,0
2020-03-16,Distrito Federal,13,0,5,0
2020-03-16,Espírito Santo,1,0,0,0
2020-03-16,Goiás,3,0,0,0
2020-03-16,Maranhão,0,0,0,0
2020-03-16,Mato Grosso,0,0,0,0
2020-03-16,Mato Grosso do Sul,2,0,2,0
2020-03-16,Minas Gerais,5,0,3,0
2020-03-16,Pará,0,0,0,0
2020-03-16,Paraíba,0,0,0,0
2020-03-16,Paraná,6,0,0,0
2020-03-16,Pernambuco,2,0,0,0
2020-03-16,Piauí,0,0,0,0
2020-03-16,Rio de Janeiro,31,0,7,0
2020-03-16,Rio Grande do Norte,1,0,0,0
2020-03-16,Rio Grande do Sul,6,0,0,0
2020-03-16,Rondônia,0,0,0,0
2020-03-16,Roraima,0,0,0,0
2020-03-16,Santa Catarina,7,0,1,0
2020-03-16,São Paulo,152,0,16,0
2020-03-16,Sergipe,1,0,0,0
2020-03-16,Tocantins,0,0,0,0
2020-03-17,Acre,0,0,0,0
2020-03-17,Alagoas,1,0,0,0
2020-03-17,Amapá,0,0,0,0
2020-03-17,Amazonas,1,0,0,0
2020-03-17,Bahia,3,0,1,0
2020-03-17,Ceará,5,0,5,0
2020-03-17,Distrito Federal,22,0,9,0
2020-03-17,Espírito Santo,1,0,0,0
2020-03-17,Goiás,6,0,3,0
2020-03-17,Maranhão,0,0,0,0
2020-03-17,Mato Grosso,0,0,0,0
2020-03-17,Mato Grosso do Sul,4,0,2,0
2020-03-17,Minas Gerais,7,0,2,0
2020-03-17,Pará,0,0,0,0
2020-03-17,Paraíba,0,0,0,0
2020-03-17,Paraná,6,0,0,0
2020-03-17,Pernambuco,16,0,14,0
2020-03-17,Piauí,0,0,0,0
2020-03-17,Rio de Janeiro,33,0,2,0
2020-03-17,Rio Grande do Norte,1,0,0,0
2020-03-17,Rio Grande do Sul,10,0,4,0
2020-03-17,Rondônia,0,0,0,0
2020-03-17,Roraima,0,0,0,0
2020-03-17,Santa Catarina,7,0,0,0
2020-03-17,São Paulo,164,1,12,1
2020-03-17,Sergipe,4,0,3,0
2020-03-17,Tocantins,0,0,0,0
2020-03-18,Acre,0,0,0,0
2020-03-18,Alagoas,1,0,0,0
2020-03-18,Amapá,0,0,0,0
2020-03-18,Amazonas,1,0,0,0
2020-03-18,Bahia,3,0,0,0
2020-03-18,Ceará,9,0,4,0
2020-03-18,Distrito Federal,26,0,4,0
2020-03-18,Espírito Santo,9,0,8,0
2020-03-18,Goiás,8,0,2,0
2020-03-18,Maranhão,0,0,0,0
2020-03-18,Mato Grosso,0,0,0,0
2020-03-18,Mato Grosso do Sul,7,0,3,0
2020-03-18,Minas Gerais,15,0,8,0
2020-03-18,Pará,0,0,0,0
2020-03-18,Paraíba,0,0,0,0
2020-03-18,Paraná,13,0,7,0
2020-03-18,Pernambuco,16,0,0,0
2020-03-18,Piauí,0,0,0,0
2020-03-18,Rio de Janeiro,45,0,12,0
2020-03-18,Rio Grande do Norte,1,0,0,0
2020-03-18,Rio Grande do Sul,19,0,9,0
2020-03-18,Rondônia,0,0,0,0
2020-03-18,Roraima,0,0,0,0
2020-03-18,Santa Catarina,10,0,3,0
2020-03-18,São Paulo,240,4,76,3
2020-03-18,Sergipe,5,0,1,0
2020-03-18,Tocantins,0,0,0,0
2020-03-19,Acre,3,0,3,0
2020-03-19,Alagoas,4,0,3,0
2020-03-19,Amapá,0,0,0,0
2020-03-19,Amazonas,3,0,2,0
2020-03-19,Bahia,30,0,27,0
2020-03-19,Ceará,20,0,11,0
2020-03-19,Distrito Federal,42,0,16,0
2020-03-19,Espírito Santo,11,0,2,0
2020-03-19,Goiás,12,0,4,0
2020-03-19,Maranhão,0,0,0,0
